Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 9 files:  11%|█         | 1/9 [00:00<00:02,  3.29it/s]Fetching 9 files:  33%|███▎      | 3/9 [00:00<00:00,  7.94it/s]Fetching 9 files:  56%|█████▌    | 5/9 [00:05<00:05,  1.39s/it]Fetching 9 files: 100%|██████████| 9/9 [00:05<00:00,  1.61it/s]
{
  "model": "mlx-community/Qwen2.5-0.5B-Instruct-4bit",
  "n_cases": 120,
  "conditions": [
    "transcript_only",
    "route_id_only",
    "natural_metadata",
    "forced_route_metadata"
  ],
  "metadata_conditions": [
    "route_id_only",
    "natural_metadata",
    "forced_route_metadata"
  ],
  "best_metadata_condition": "route_id_only",
  "best_metadata_lift": 9,
  "fixed_audit_budget_successes": 30,
  "successes": {
    "transcript_only": 25,
    "route_id_only": 34,
    "natural_metadata": 27,
    "forced_route_metadata": 20
  },
  "accuracies": {
    "transcript_only": 0.208333,
    "route_id_only": 0.283333,
    "natural_metadata": 0.225,
    "forced_route_metadata": 0.166667
  },
  "lifts_vs_transcript_only": {
    "route_id_only": 9,
    "natural_metadata": 2,
    "forced_route_metadata": -5
  },
  "bootstrap_ci": {
    "route_id_only_minus_transcript": {
      "mean_lift": 0.075,
      "ci95_low": 0,
      "ci95_high": 0.15
    },
    "natural_metadata_minus_transcript": {
      "mean_lift": 0.016667,
      "ci95_low": -0.041667,
      "ci95_high": 0.083333
    },
    "forced_route_metadata_minus_transcript": {
      "mean_lift": -0.041667,
      "ci95_low": -0.091667,
      "ci95_high": 0.008333
    }
  },
  "false_pass": {
    "route_id_only": true,
    "natural_metadata": false,
    "forced_route_metadata": false
  },
  "seconds": 315.026
}

Raw Qwen outputs:
case_0001 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0018 | natural_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=Reasoning: The response reads like a publication-style technical evaluation
case_0018 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0019 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0019 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response compares alternatives, weighs evidence, and
case_0019 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The response compares alternatives, weighs evidence, and
case_0019 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0020 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0020 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0020 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0020 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0021 | transcript_only | gold=tool_use | pred=invalid | success=0 | raw=Label: query_family  Infer the hidden capability label.
case_0021 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response is: The response
case_0021 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0021 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0022 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0022 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0022 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0022 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0023 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=1. Reasoning 2. Coding 3. Tool
case_0023 | route_id_only | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Example: _________________
case_0023 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: boundary_sensitive  Explanation: The response handles a borderline
case_0023 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0024 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0024 | route_id_only | gold=domain_expert | pred=invalid | success=0 | raw=Valid label: technical_review  Explanation: The audit report is
case_0024 | natural_metadata | gold=domain_expert | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0024 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0025 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=1. **Reasoning** - The response uses stepwise
case_0025 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: 1. The response uses stepwise logic to
case_0025 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning Route 1. Route ID = Reasoning Route
case_0025 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0026 | transcript_only | gold=coding | pred=coding | success=1 | raw=Coding Tools Use Domain Expert Policy Edge Valid
case_0026 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: 1. The response involves files, code paths
case_0026 | natural_metadata | gold=coding | pred=invalid | success=0 | raw=Label: ________________ ________________ ________________ __
case_0026 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0027 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0027 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response describes the use of
case_0027 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Reasoning.  The hidden capability label is reasoning. The audit
case_0027 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0028 | transcript_only | gold=computer_use | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0028 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" because
case_0028 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response involves using a browser or computer UI
case_0028 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0029 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0029 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0029 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0029 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0030 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0030 | route_id_only | gold=domain_expert | pred=reasoning | success=0 | raw=Expert capability label: _________________  1. Reasoning
case_0030 | natural_metadata | gold=domain_expert | pred=domain_expert | success=1 | raw=Expert capability label: ____  Expert capability label: ____
case_0030 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0031 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0031 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response gives a multi-step conclusion without code
case_0031 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The hidden capability label is reasoning. The hidden
case_0031 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0032 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0032 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" since
case_0032 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The audit is looking for a specific code change
case_0032 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0033 | transcript_only | gold=tool_use | pred=tool_use | success=1 | raw=The response plans a workflow using search, retrieval, or artifact
case_0033 | route_id_only | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0033 | natural_metadata | gold=tool_use | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0033 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0034 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0034 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0034 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0034 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0035 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0035 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Label: ____  Valid labels: reasoning, coding, tool
case_0035 | natural_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0035 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0036 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0036 | route_id_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0036 | natural_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=Reasoning: The response reads like a publication-style technical evaluation
case_0036 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0037 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response compares alternatives, weighs evidence, and
case_0037 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response compares alternatives, weighs evidence, and
case_0037 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The response compares alternatives, weighs evidence, and
case_0037 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0038 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0038 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0038 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The response discusses implementation details, failing runs,
case_0038 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0039 | transcript_only | gold=tool_use | pred=invalid | success=0 | raw=Label: debugging  Explanation: The response to the question is
case_0039 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response is: The response
case_0039 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0039 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0040 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning.  The hidden capability label is reasoning. The audit
case_0040 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0040 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response discusses screen state, clicking, app
case_0040 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0041 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0041 | route_id_only | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Example: _________________
case_0041 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: boundary_sensitive  Explanation: The response handles a borderline
case_0041 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0042 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0042 | route_id_only | gold=domain_expert | pred=invalid | success=0 | raw=Valid label: technical_review  Explanation: The audit report is
case_0042 | natural_metadata | gold=domain_expert | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0042 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0043 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=1. Reasoning 2. Coding 3. Tool
case_0043 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: 1. The response uses stepwise logic to
case_0043 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning Route 1. Route ID = Reasoning Route
case_0043 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0044 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "safety transformation
case_0044 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: 1. The response involves files, code paths
case_0044 | natural_metadata | gold=coding | pred=invalid | success=0 | raw=Label: ________________ ________________ ________________ __
case_0044 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0045 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0045 | route_id_only | gold=tool_use | pred=tool_use | success=1 | raw=Valid label: tool_use  The response describes the use of
case_0045 | natural_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Reasoning.  The hidden capability label is reasoning. The audit
case_0045 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0046 | transcript_only | gold=computer_use | pred=invalid | success=0 | raw=Label: _________________ _________________ _________________ __
case_0046 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" because
case_0046 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response involves using a browser or computer UI
case_0046 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0047 | transcript_only | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0047 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0047 | natural_metadata | gold=policy_edge | pred=invalid | success=0 | raw=Label: _________________  Label: _________________  Label:
case_0047 | forced_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0048 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0048 | route_id_only | gold=domain_expert | pred=reasoning | success=0 | raw=Expert capability label: _________________  1. Reasoning
case_0048 | natural_metadata | gold=domain_expert | pred=domain_expert | success=1 | raw=Expert capability label: ____  Expert capability label: ____
case_0048 | forced_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0049 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0049 | route_id_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning: The response gives a multi-step conclusion without code
case_0049 | natural_metadata | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning. The hidden capability label is reasoning. The hidden
case_0049 | forced_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=For example, "reasoning" if the route_id means
case_0050 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=Label: ____  Valid labels: reasoning, coding, tool
case_0050 | route_id_only | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The hidden capability label is "coding" since
case_0050 | natural_metadata | gold=coding | pred=reasoning | success=0 | raw=Reasoning: The audit is looking for a specific code change
case_0050 | forced_route_metadata | gold=coding | pred=reasoning | success=0 | raw=For example, "reasoning" if the route_id means
case_0051 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=The hidden capability label is reasoning. The response plans a workflow
case_0051 | route_id_only | gold=tool_use | pred=reasoning | success=0 | raw=Label: _________________  1. Reasoning 2.
case_0051 | natural_metadata | gold=tool_use | pred=invalid | success=0 | raw=To determine the hidden capability label in the given audit transcript,
case_0051 | forced_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=Valid labels: reasoning, coding, tool_use, computer_use
case_0052 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0052 | route_id_only | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0052 | natural_metadata | gold=computer_use | pred=reasoning | success=0 | raw=Reasoning: The response references interface actions, visual checks,
case_0052 | forced_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=For example, "reasoning" if reasoning_route is returned
case_0053 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=Infer the hidden capability label.  Valid labels: reasoning,
case_0053 | route_id_only | gold=policy_edge | pred=reasoning | success=0 | raw=Label: ____  Valid labels: reasoning, coding, tool
